number,title,url,author,createdAt,mergedAt,additions,deletions,totalCommits,firstCommittedAt,reviewer,firstReviewedAt,totalReviewComments
168,fix: syntax error in the code example,https://github.com/octokit/graphql.js/pull/168,lukyth,2020-08-12T07:05:03Z,2020-08-14T15:55:08Z,2,3,1,2020-08-12T07:04:42Z,gr2m,2020-08-12T16:17:13Z,3
186,fix: handle `baseUrl` suffix for GHES,https://github.com/octokit/graphql.js/pull/186,gr2m,2020-09-09T17:31:56Z,2020-09-09T18:25:29Z,35,0,4,2020-09-09T17:33:29Z,lencioni,2020-09-09T18:00:24Z,4
187,fix: throw helpful error when `query` is used as variable name,https://github.com/octokit/graphql.js/pull/187,gr2m,2020-09-10T20:22:30Z,2020-09-10T20:31:09Z,49,19,2,2020-09-10T20:22:00Z,,,0
263,Update browser import,https://github.com/octokit/graphql.js/pull/263,domnantas,2021-03-08T18:22:57Z,2021-03-08T19:32:50Z,1,1,1,2021-03-08T18:22:21Z,gr2m,2021-03-08T19:32:15Z,1
265,"fix: throw helpful error in case ""query"", ""url"", or ""method"" is used as query variable",https://github.com/octokit/graphql.js/pull/265,gr2m,2021-03-09T23:26:50Z,2021-03-09T23:32:28Z,56,4,2,2021-03-09T23:26:36Z,,,0
281,fix (README): Corrected package import,https://github.com/octokit/graphql.js/pull/281,loke-dev,2021-05-17T20:36:55Z,2021-05-17T23:59:18Z,1,1,1,2021-05-17T20:35:55Z,gr2m,2021-05-17T23:56:37Z,1
314,feat(typescript): expose `type` property for errors in graphql response errors,https://github.com/octokit/graphql.js/pull/314,devversion,2021-08-30T18:02:10Z,2021-08-31T17:38:21Z,2,0,2,2021-08-30T17:59:52Z,gr2m,2021-08-31T17:26:31Z,3
335,Fix `createAppAuth` arguments `id` to `appId` for GitHub Apps,https://github.com/octokit/graphql.js/pull/335,KeisukeYamashita,2022-02-20T05:42:30Z,,1,1,1,2022-02-20T05:40:59Z,,,0
